dataset,variant,seed,epsilon,selected_threshold,validation_fp_rate,test_n_clean,test_fp_images,test_fp_rate,test_false_detections,test_fppi,n_retained,n_targets,tp50,fp50,fn50,precision,recall,mAP50
vsb_rarefirst,p3_unsharp,44,0.05,0.3,0.04685408299866131,2988,160,0.0535475234270415,192,0.0642570281124498,1248,1173,898,350,275,0.719551282051282,0.7655583972719523,0.7228133578931076
vsb_rarefirst,a1_crop,42,0.0,0.8,0.0,2988,0,0.0,0,0.0,145,1173,139,6,1034,0.9586206896551724,0.1184995737425405,0.14707162262115822
vsb_rarefirst,a1_crop,43,0.0,0.8,0.0,2988,0,0.0,0,0.0,342,1173,318,24,855,0.9298245614035088,0.2710997442455243,0.31134351080996603
vsb_rarefirst,a1_crop,44,0.0,0.8,0.0,2988,0,0.0,0,0.0,282,1173,265,17,908,0.9397163120567376,0.2259164535379369,0.24558859938541489
vsb_rarefirst,a1_crop,42,0.01,0.65,0.002008032128514056,2988,11,0.003681392235609103,11,0.003681392235609103,529,1173,481,48,692,0.9092627599243857,0.4100596760443308,0.4806308978166316
vsb_rarefirst,a1_crop,43,0.01,0.65,0.008366800535475234,2988,36,0.012048192771084338,36,0.012048192771084338,747,1173,646,101,527,0.8647925033467202,0.5507246376811594,0.5823310894362093
vsb_rarefirst,a1_crop,44,0.01,0.65,0.007362784471218206,2988,37,0.012382864792503346,39,0.013052208835341365,704,1173,621,83,552,0.8821022727272727,0.5294117647058824,0.5619061800322507
vsb_rarefirst,a1_crop,42,0.02,0.6,0.004350736278447122,2988,22,0.007362784471218206,22,0.007362784471218206,669,1173,592,77,581,0.8849028400597907,0.5046888320545609,0.5598142678232654
vsb_rarefirst,a1_crop,43,0.02,0.6,0.01740294511378849,2988,73,0.024431057563587683,76,0.025435073627844713,858,1173,728,130,445,0.8484848484848485,0.6206308610400681,0.6352499213252208
vsb_rarefirst,a1_crop,44,0.02,0.6,0.015394912985274432,2988,73,0.024431057563587683,76,0.025435073627844713,820,1173,712,108,461,0.8682926829268293,0.6069906223358909,0.6227328003440084
